epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,1.5378873316746837,0.4580188679245283,1.306023697133334,0.6707547169811321,0.7045624631108277,0.6250222905161613,0.6277094802182278
2,1.1885852154695762,0.68125,1.0572752012396758,0.7462264150943396,0.740107636564091,0.7144042500360275,0.719860044724797
3,1.0059722545011989,0.7241745283018868,0.9147461783211186,0.7641509433962265,0.7551267609470785,0.7403342037500454,0.743451168300492
4,0.8290478002350286,0.755188679245283,0.7117832264810239,0.7839622641509434,0.7714975736714029,0.7650695009323014,0.7645075377616054
5,0.6728944182395935,0.7912735849056604,0.6033475446251203,0.8264150943396227,0.8155216940100399,0.8125412584429558,0.8130790537534868
6,0.5791290828641855,0.8183962264150944,0.5313354321245877,0.8415094339622642,0.8336580750382513,0.828401669488421,0.829434307669223
7,0.5205382421331586,0.8354952830188679,0.47846251984812177,0.8566037735849057,0.8475507211082564,0.8462106362389248,0.8465765089453696
8,0.4698336624874259,0.8503537735849057,0.4526607796830951,0.8641509433962264,0.8531311233959576,0.8596124803479824,0.8555594410946387
9,0.4141005681933097,0.8716981132075472,0.4160302757092242,0.870754716981132,0.8614274665485598,0.86404816209861,0.8621693688457266
10,0.3824079048521114,0.8825471698113208,0.396467941830743,0.870754716981132,0.8605045416624887,0.8659080498578376,0.86274339740824
11,0.3560064657960298,0.8904481132075471,0.37015576885556273,0.8811320754716981,0.8712321509767359,0.8747596788285142,0.8727995158126648
12,0.324939937046114,0.8998820754716981,0.3536561018453454,0.8811320754716981,0.8716476756323633,0.8761732228080649,0.873390270055661
13,0.3132781323396935,0.902122641509434,0.33670643320623433,0.8877358490566037,0.8779139562238654,0.8823369048050802,0.8799336311028988
14,0.2883823998412996,0.9116745283018868,0.320428262819659,0.8905660377358491,0.880114628226758,0.8885193513246318,0.8836885663570727
15,0.26967757690065314,0.9178066037735849,0.31664778016648204,0.8962264150943396,0.8870876508286433,0.8915289533488496,0.8889692888435795
16,0.2533175199099307,0.9211084905660377,0.3037468803941079,0.9009433962264151,0.8912267352862844,0.8970964766544681,0.8938499781173433
17,0.23681064762596815,0.9283018867924528,0.30340061665705914,0.8952830188679245,0.8844475255710114,0.8944227881274086,0.8886510810176208
18,0.21771254427028153,0.9337264150943396,0.29005807312029713,0.9018867924528302,0.8919238938573999,0.8979606741853323,0.8945649657145123
19,0.2074693795363858,0.9363207547169812,0.2879695932679581,0.9037735849056604,0.8934405675010523,0.9019716075479866,0.8970561683359595
20,0.19645732392398815,0.9415094339622642,0.27330405901906624,0.9084905660377358,0.8986191735184486,0.9078679909243322,0.9024473847972857
